name,born,height,weight,position,games_played,goals,assists,plus_minus,penalty_minutes,salary
Spencer Abbott,1988,69,170,LW,1,0,0,0,0,$575'000.00
Justin Abdelkader,1987,74,218,LW,64,7,14,-20,50,$5'500'000.00
Pontus Aberg,1993,71,196,LW,15,1,1,-2,4,$842'500.00
Noel Acciari,1991,70,208,C,29,2,3,3,16,$892'500.00
Kenny Agostino,1992,72,202,LW,7,1,2,0,2,$625'000.00
Sebastian Aho,1997,71,172,RW,82,24,25,-1,26,$925'000.00
Karl Alzner,1988,75,219,D,82,3,10,23,28,$2'800'000.00
Josh Anderson,1994,75,221,RW,78,17,12,12,89,$700'000.00
Rasmus Andersson,1996,73,214,D,1,0,0,-1,0,$742'500.00
Andy Andreoff,1991,73,210,LW,36,0,2,-2,70,$600'000.00
Sven Andrighetto,1993,70,188,RW,46,7,17,1,12,$650'000.00
Artem Anisimov,1988,76,198,C,64,22,23,9,30,$5'750'000.00
Josh Archibald,1992,70,176,RW,10,3,0,3,4,$667'500.00
Joel Armia,1993,75,205,RW,57,10,9,-8,20,$875'000.00
Viktor Arvidsson,1993,69,180,LW,80,31,30,16,28,$640'000.00
Andreas Athanasiou,1994,74,188,C,64,18,11,-7,28,$575'000.00
Cam Atkinson,1989,68,182,RW,82,35,27,13,22,$3'500'000.00
Brady Austin,1993,76,230,D,5,0,0,0,4,$635'000.00
Yohann Auvitu,1989,71,191,D,25,2,2,1,2,$792'500.00
David Backes,1984,75,221,RW,74,17,21,2,69,$8'000'000.00
Mikael Backlund,1989,73,199,C,81,22,31,9,36,$3'575'000.00
Nicklas Backstrom,1987,73,213,C,82,23,63,17,38,$7'000'000.00
Sven Baertschi,1992,71,192,LW,68,18,17,-6,8,$1'700'000.00
Casey Bailey,1991,75,195,RW,7,0,0,-1,0,$874'125.00
Josh Bailey,1989,73,210,RW,82,13,43,5,12,$3'700'000.00
Justin Bailey,1995,75,214,RW,32,2,2,0,4,$692'500.00
Nicholas Baptiste,1995,73,206,RW,14,3,1,1,6,$740'000.00
Ivan Barbashev,1995,72,180,C,30,5,7,5,2,$742'500.00
Riley Barber,1994,72,193,RW,3,0,0,0,0,$667'500.00
Mark Barberio,1990,73,207,D,60,2,11,-5,14,$800'000.00
Aleksander Barkov,1995,75,213,C,61,21,31,13,10,$4'500'000.00
Tyson Barrie,1991,70,190,D,74,7,31,-34,18,$5'000'000.00
Matt Bartkowski,1988,73,196,D,24,1,1,-4,26,$575'000.00
Mathew Barzal,1997,72,182,C,2,0,0,-2,6,$925'000.00
