"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2019,201901,658,2019010040132,3096.0,2019000006581,200001,4,1,3096.0,0,0,1,49,6,1,100,0,0,2,26,1,10,1700,1,11
2019,201901,968,2019010060553,13312.8,2019000009681,270201,4,1,13312.8,0,0,1,21,6,2,200,0,0,7,71,1,10,12200,1,11
2019,201901,2516,2019000008356,13312.8,2019000025161,240001,1,2,12384.0,2,2,1,26,6,1,100,4,416,6,63,1,10,40000,1,11
2019,201901,2670,2019000020711,11300.4,2019000026701,100001,1,2,23529.6,0,0,1,36,6,1,100,0,0,4,40,1,10,30000,1,11
2019,201901,2670,2019000020711,11300.4,2019000026701,100001,1,3,23374.8,0,0,1,35,6,1,100,0,0,4,40,1,10,18200,1,11
2019,201901,2825,2019000031482,14396.4,2019000028251,10001,1,1,14551.2,0,0,1,63,1,1,100,0,0,11,114,1,10,38000,1,11
2019,201901,2825,2019000031482,14396.4,2019000028251,10001,1,2,17956.8,0,0,2,61,1,1,100,0,0,8,81,1,10,34000,1,11
2019,201901,3135,2019000051897,25387.2,2019000031351,50001,1,1,25387.2,0,0,1,25,1,1,100,0,0,8,81,1,10,36000,1,11
2019,201901,3290,2019000063427,37152.0,2019000032901,160001,1,1,37152.0,0,0,1,59,6,2,200,0,0,6,63,1,10,26000,1,11
2019,201901,3444,2019000073423,102168.0,2019000034441,210001,1,1,102168.0,2,1,1,30,1,1,100,1,100,3,30,1,10,30000,1,11
2019,201901,4064,2019000114978,19504.8,2019000040641,250001,1,1,19504.8,2,0,1,45,1,1,100,0,0,7,71,1,10,50000,1,11
2019,201901,4064,2019000114978,19504.8,2019000040641,250001,1,2,14086.8,2,0,2,35,1,1,100,0,0,6,63,1,10,23500,1,11
2019,201901,4218,2019000126268,23839.2,2019000042181,130101,1,2,25232.4,0,0,1,59,6,2,200,0,0,6,63,1,10,13700,2,20
2019,201901,4683,2019000158317,1238.4,2019000046831,50001,1,1,1238.4,0,0,1,49,3,1,100,0,0,8,81,1,10,47000,2,20
